,kcat,data_type,MW,kcat_MW
CATC70_c,4677.44868907671,fill,69705.5510000003,241570.6502438534
PGPS_PALM_PALM_h,4677.44868907671,fill,20243.720900000004,831804.3586876439
PTPATim_num1,10.478768555555556,Other_species,60513.613400000155,623.3897577829968
CAT270_m,4677.44868907671,fill,154663.7408000007,108873.71011186665
CAT21612E_m,4677.44868907671,fill,154663.7408000007,108873.71011186665
ACGAM6PS,32.67340909090909,Other_species,27105.654199999994,4339.473670673211
BPNT_h,4677.44868907671,fill,32495.04660000002,518196.3727565834
ADPHt_h,4677.44868907671,fill,65752.61140000027,256093.48316584257
XYLK,551.6364285714286,Other_species,56140.23600000004,35373.75836569589
UAGDP_c,4677.44868907671,fill,51748.90350000003,325394.62948574644
XYLI1,13.971521739130434,Other_species,50100.98330000008,1003.9219781315047
GALT,276.1736279069767,Other_species,65950.29630000022,15075.369122566213
GALKr,11.211333333333332,Other_species,43510.97610000006,927.6004267805874
MGDGS_EPA_HDDE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
MGDGS_EPA_HDTE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
PPA_1,297.986065,Other_species,78143.0665000005,13728.023253348949
PPANA,4677.44868907671,fill,66004.88490000032,255114.6828933577
UDPRHMS_c_num1,4677.44868907671,fill,49508.533499999976,340119.4519461209
ATPS_num1,126.4005914058125,Other_species,176825.3632000013,2573.3985262410683
UA4E,6.9,Other_species,40297.032800000045,616.4225570474254
GDPMANST_c,4677.44868907671,fill,37249.98110000003,452048.9617288998
CPS_m,4677.44868907671,fill,160756.5133000001,104747.32833531882
BPNT,9.631378378378379,Other_species,33933.0875,1021.8039299301062
AGPATACP_STC_HDE_h,4677.44868907671,fill,15991.785199999988,1052966.5744057249
PAPA_STC_HDE_h,4677.44868907671,fill,32006.04890000002,526113.527267533
MGDGS_STC_HDE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
MGDGH_STC_HDE_h,4677.44868907671,fill,123048.8161000009,136846.62570821788
MGDGD12DS_STC_HDDE_sn2_h,4677.44868907671,fill,108755.0048000001,154832.5551696922
GCL,1022.2265,Other_species,85137.87130000051,43224.18852865984
MGDGD6DS_STC_HDTE_sn2_h,4677.44868907671,fill,54761.38010000007,307494.35550978995
MGDGH_STC_HDTE_h,4677.44868907671,fill,123048.8161000009,136846.62570821788
AGPATACP_HDE_OLE_h,4677.44868907671,fill,15991.785199999988,1052966.5744057249
PAPA_HDE_OLE_h,4677.44868907671,fill,32006.04890000002,526113.527267533
MGDGS_HDE_OLE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
MGDGH_HDE_OLE_h,4677.44868907671,fill,123048.8161000009,136846.62570821788
FE2th_num1,4677.44868907671,fill,27994.369400000003,601507.2188293749
MGDGD12DS_HDDE_HDTE_sn1_h,4677.44868907671,fill,108755.0048000001,154832.5551696922
MGDGH_HDDE_HDTE_h,4677.44868907671,fill,123048.8161000009,136846.62570821788
CYTOM,55.52153833333333,Other_species,54955.37830000009,3637.087837133489
PPGPPDP_c,4677.44868907671,fill,10477.044399999993,1607210.4534248388
SQDGS160,4677.44868907671,fill,112813.3016000003,149262.67595980113
PAPA_HDE_TTC_c_num1,4677.44868907671,fill,44185.29840000005,381095.42971143854
SQDGD12DS_HDDE_PALM_sn1_h,4677.44868907671,fill,108755.0048000001,154832.5551696922
LPCAT_EPA_HDDE_c,4677.44868907671,fill,56886.65090000001,296006.4446451031
ACPT_EPA_HDE_c,4677.44868907671,fill,92237.81750000063,182558.69161991004
ACPT_EPA_LNA_c,4677.44868907671,fill,92237.81750000063,182558.69161991004
ACPT_EPA_EPA_c,4677.44868907671,fill,92237.81750000063,182558.69161991004
AACPDAGAT_HDE_PALM_PALM_h,4677.44868907671,fill,36191.65610000001,465267.8847895041
ACOADAGAT_MYRS_HDE_HDE_c_num1,4677.44868907671,fill,47212.12030000006,356662.9749665392
ACOADAGAT_MYRS_HDE_PALM_c_num1,4677.44868907671,fill,47212.12030000006,356662.9749665392
