reactions,metabolites,metabolitestotal,gpr,genes
FUCASE,s2l2fn2m2masn_c,s2l2fn2m2masn,TM0306,TM0306
FUM,fum_c,fum,TM0540 and TM0541,TM0540
FUM,fum_c,fum,TM0540 and TM0541,TM0541
G1PACT,accoa_c,accoa,TM1629,TM1629
G1PACT,gam1p_c,gam1p,TM1629,TM1629
GALS3,melib_c,melib,TM1192,TM1192
GLS3e_num1,glucan1500_e,glucan1500,TM1525,TM1525
GLSe_num1,glucan1500_e,glucan1500,TM0305,TM0305
GLCMAN4,glcman4_c,glcman4,TM1751 and TM1752 and TM1624,TM1751
GLCMAN4,glcman4_c,glcman4,TM1751 and TM1752 and TM1624,TM1752
GLCMAN4,glcman4_c,glcman4,TM1751 and TM1752 and TM1624,TM1624
G3PD1ir_num1,dhap_c,dhap,TM1432,TM1432
G5SD,glu5p_c,glu5p,TM0293,TM0293
G6PDA,gam6p_c,gam6p,TM0813,TM0813
GLCMAN6abc,glcman6_e,glcman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1748
GLCMAN6abc,glcman6_e,glcman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1747
GLCMAN6abc,glcman6_e,glcman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1749
GLCMAN6abc,glcman6_e,glcman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1746
GLCMAN6abc,glcman6_e,glcman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1750
GLCMAN4abc,glcman4_e,glcman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1748
GLCMAN4abc,glcman4_e,glcman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1747
GLCMAN4abc,glcman4_e,glcman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1749
GLCMAN4abc,glcman4_e,glcman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1746
GLCMAN4abc,glcman4_e,glcman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1750
GLCMAN6,glcman6_c,glcman6,TM1751 and TM1752 and TM1624,TM1751
GLCMAN6,glcman6_c,glcman6,TM1751 and TM1752 and TM1624,TM1752
GLCMAN6,glcman6_c,glcman6,TM1751 and TM1752 and TM1624,TM1624
GALUi,g1p_c,g1p,TM0862,TM0862
G6PDH2r,g6p_c,g6p,TM1155,TM1155
GALKr,gal_c,gal,TM1190,TM1190
GALMAN6abc,galman6_e,galman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1748
GALMAN6abc,galman6_e,galman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1747
GALMAN6abc,galman6_e,galman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1749
GALMAN6abc,galman6_e,galman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1746
GALMAN6abc,galman6_e,galman6,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1750
GALMAN4abc,galman4_e,galman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1748
GALMAN4abc,galman4_e,galman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1747
GALMAN4abc,galman4_e,galman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1749
GALMAN4abc,galman4_e,galman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1746
GALMAN4abc,galman4_e,galman4,TM1746 and TM1747 and TM1748 and TM1749 and TM1750,TM1750
GALMAN4,galman4_c,galman4,TM1751 and TM1752 and TM1192 and TM1624,TM1751
GALMAN4,galman4_c,galman4,TM1751 and TM1752 and TM1192 and TM1624,TM1752
GALMAN4,galman4_c,galman4,TM1751 and TM1752 and TM1192 and TM1624,TM1624
GALMAN4,galman4_c,galman4,TM1751 and TM1752 and TM1192 and TM1624,TM1192
GALT_num1,gal1p_c,gal1p,TM1191,TM1191
GALMAN6,galman6_c,galman6,TM1751 and TM1752 and TM1192 and TM1624,TM1751
