,MW
FUCtpp,47.5449
FUMt2_2pp,45.4363
FUMt2_3pp_num1,47.9353
FUMt2_3pp_num2,45.7507
FUMt2_3pp_num3,48.4122
FEENTERtonex,150.0155
CSNt2pp,43.6496
CYNTt2pp,41.3607
CYTDt2pp_copy1_num1,43.4758
CYTDt2pp_copy1_num2,46.3892
CYTDt2pp_copy2,46.1398
DADNt2pp_num1,43.4758
DADNt2pp_num2,46.3892
DCYTt2pp_num1,43.4758
DCYTt2pp_num2,46.3892
DDGLCNt2rpp,33.6693
RMNtex_num1,117.9999
RMNtex_num2,116.766
RMNtex_num3,121.1044
RMNtex_num4,41.2198
MALTTRtexi,149.7367
MALTTTRtexi,149.7367
MALTPTtexi,149.7367
MALTtexi,149.7367
GLCtex_copy1,149.7367
FE3DCITtonex,153.2302
PHEtex_num1,41.2198
PHEtex_num2,116.766
PHEtex_num3,117.9999
PHEtex_num4,121.1044
PItex_num1,41.2198
PItex_num2,116.766
PItex_num3,117.9999
PItex_num4,121.1044
ACGAMK,33.0427
METS_num1,135.997
METS_num2,84.6735
CYSabc2pp,127.9764
PRASCSi,80.985
TRSARr_num1,123.2023
TRSARr_num2,30.4274
LYXI,188.7978
PNTOtex_num1,41.2198
PNTOtex_num2,116.766
PNTOtex_num3,117.9999
PNTOtex_num4,121.1044
PPPNtex_num1,41.2198
PPPNtex_num2,116.766
PPPNtex_num3,117.9999
PPPNtex_num4,121.1044
PPTtex_num1,41.2198
PPTtex_num2,116.766
PPTtex_num3,117.9999
PPTtex_num4,121.1044
PTRCtex_num1,41.2198
PTRCtex_num2,116.766
PTRCtex_num3,117.9999
PTRCtex_num4,121.1044
PYRtex_num1,41.2198
PYRtex_num2,116.766
PYRtex_num3,117.9999
PYRtex_num4,121.1044
DSERtex_num1,41.2198
DSERtex_num2,116.766
DSERtex_num3,117.9999
DSERtex_num4,121.1044
SERtex_num1,41.2198
SERtex_num2,116.766
SERtex_num3,117.9999
SERtex_num4,121.1044
SO4tex_num1,41.2198
SO4tex_num2,116.766
SO4tex_num3,117.9999
SO4tex_num4,121.1044
SPMDtex_num1,117.9999
SPMDtex_num2,121.1044
SPMDtex_num3,116.766
SPMDtex_num4,41.2198
SUCCtex_num1,41.2198
SUCCtex_num2,116.766
SUCCtex_num3,117.9999
SUCCtex_num4,121.1044
SUCRtex_num1,41.2198
SUCRtex_num2,116.766
SUCRtex_num3,117.9999
SUCRtex_num4,121.1044
TARTRtex_num1,41.2198
TARTRtex_num2,116.766
TARTRtex_num3,117.9999
TARTRtex_num4,121.1044
TAURtex_num1,41.2198
TAURtex_num2,116.766
TAURtex_num3,117.9999
TAURtex_num4,121.1044
THRtex_num1,41.2198
THRtex_num2,116.766
THRtex_num3,117.9999
THRtex_num4,121.1044
THMDtex_num1,41.2198
THMDtex_num2,116.766
THMDtex_num3,117.9999
THMDtex_num4,121.1044
CBIuabcpp,153.4278
METDtex_num1,41.2198
METDtex_num2,116.766
METDtex_num3,117.9999
METDtex_num4,121.1044
METtex_num1,41.2198
METtex_num2,116.766
METtex_num3,117.9999
METtex_num4,121.1044
MNLtex_num1,116.766
MNLtex_num2,41.2198
MNLtex_num3,121.1044
MNLtex_num4,117.9999
NAtex_num1,41.2198
NAtex_num2,116.766
NAtex_num3,117.9999
NAtex_num4,121.1044
NACtex_num1,41.2198
NACtex_num2,116.766
NACtex_num3,117.9999
NACtex_num4,121.1044
NH4tex_num1,116.766
NH4tex_num2,41.2198
NH4tex_num3,121.1044
NH4tex_num4,117.9999
URIH_num1,33.8229
URIH_num2,134.992
URIH_num3,32.5608
XTSNH,32.5608
INSH,32.5608
BUTtex_num1,41.2198
BUTtex_num2,116.766
BUTtex_num3,117.9999
BUTtex_num4,121.1044
CHLtex_num1,41.2198
CHLtex_num2,116.766
CHLtex_num3,117.9999
CHLtex_num4,121.1044
CO2tex_num1,41.2198
CO2tex_num2,116.766
CO2tex_num3,117.9999
CO2tex_num4,121.1044
CRNtex_num1,41.2198
CRNtex_num2,116.766
CRNtex_num3,117.9999
CRNtex_num4,121.1044
PPK2,160.863
DINStex_num1,41.2198
DINStex_num2,116.766
DINStex_num3,117.9999
DINStex_num4,121.1044
DMStex_num1,41.2198
DMStex_num2,116.766
DMStex_num3,117.9999
DMStex_num4,121.1044
CSNtex_num1,41.2198
CSNtex_num2,116.766
CSNtex_num3,117.9999
CSNtex_num4,121.1044
CYNTtex_num1,117.9999
CYNTtex_num2,121.1044
CYNTtex_num3,116.766
CYNTtex_num4,41.2198
CYStex_num1,41.2198
CYStex_num2,116.766
CYStex_num3,117.9999
CYStex_num4,121.1044
CYTDtex_num1,41.2198
CYTDtex_num2,116.766
CYTDtex_num3,117.9999
CYTDtex_num4,121.1044
DCAtex_num1,41.2198
DCAtex_num2,116.766
DCAtex_num3,117.9999
DCAtex_num4,121.1044
DCYTtex,33.589
DGSNtex_num1,41.2198
DGSNtex_num2,116.766
DGSNtex_num3,117.9999
DGSNtex_num4,121.1044
MTHFR2,132.4109
ASPO3,60.3374
ASPO5,60.3374
ASPO4,60.3374
ASPO6,60.3374
LCTStex_num1,41.2198
LCTStex_num2,116.766
LCTStex_num3,117.9999
LCTStex_num4,121.1044
LEUtex_num1,41.2198
LEUtex_num2,116.766
LEUtex_num3,117.9999
LEUtex_num4,121.1044
LYStex_num1,41.2198
LYStex_num2,116.766
LYStex_num3,117.9999
LYStex_num4,121.1044
LYXtex_num1,41.2198
LYXtex_num2,116.766
LYXtex_num3,117.9999
LYXtex_num4,121.1044
MANtex_num1,41.2198
MANtex_num2,116.766
MANtex_num3,117.9999
MANtex_num4,121.1044
MAN6Ptex_num1,117.9999
MAN6Ptex_num2,121.1044
MAN6Ptex_num3,116.766
MAN6Ptex_num4,41.2198
MELIBtex_num1,41.2198
MELIBtex_num2,116.766
MELIBtex_num3,117.9999
MELIBtex_num4,121.1044
DMSOtex_num1,41.2198
DMSOtex_num2,116.766
DMSOtex_num3,117.9999
DMSOtex_num4,121.1044
DURItex,33.589
FRUtex_num1,41.2198
FRUtex_num2,116.766
FRUtex_num3,117.9999
FRUtex_num4,121.1044
FUCtex_num1,41.2198
FUCtex_num2,116.766
FUCtex_num3,117.9999
FUCtex_num4,121.1044
FUMtex_num1,41.2198
FUMtex_num2,116.766
FUMtex_num3,117.9999
FUMtex_num4,121.1044
ACACT5r_num1,81.7524
ACACT5r_num2,46.5305
MALDDH,40.3149
FE2tex_num1,116.766
FE2tex_num2,41.2198
FE2tex_num3,121.1044
FE2tex_num4,117.9999
NMNtex_num1,41.2198
NMNtex_num2,116.766
NMNtex_num3,117.9999
NMNtex_num4,121.1044
NO2tex_num1,41.2198
NO2tex_num2,116.766
NO2tex_num3,117.9999
NO2tex_num4,121.1044
DHPS2,61.2302
MTHFC,62.0875
MTHFD,62.0875
BUTt2rpp,47.5277
CADVtpp,46.665
QULNS,76.4816
ALKP,20.7798
GDPtex_num1,121.1044
GDPtex_num2,117.9999
GDPtex_num3,41.2198
GDPtex_num4,116.766
TMAtex_num1,41.2198
TMAtex_num2,116.766
TMAtex_num3,117.9999
TMAtex_num4,121.1044
TMAOtex_num1,41.2198
TMAOtex_num2,116.766
TMAOtex_num3,117.9999
TMAOtex_num4,121.1044
TREtex_num1,41.2198
TREtex_num2,116.766
TREtex_num3,117.9999
TREtex_num4,121.1044
L_LACD3_num1,104.2689
L_LACD3_num2,42.7282
L_LACD2_num1,104.2689
L_LACD2_num2,42.7282
ACACT6r_num1,46.5305
ACACT6r_num2,81.7524
TRPtex_num1,41.2198
TRPtex_num2,116.766
TRPtex_num3,117.9999
TRPtex_num4,121.1044
TSULtex_num1,41.2198
TSULtex_num2,116.766
TSULtex_num3,117.9999
TSULtex_num4,121.1044
TYRtex_num1,41.2198
TYRtex_num2,116.766
TYRtex_num3,117.9999
TYRtex_num4,121.1044
URAtex_num1,41.2198
URAtex_num2,116.766
URAtex_num3,117.9999
URAtex_num4,121.1044
UREAtex_num1,41.2198
UREAtex_num2,116.766
UREAtex_num3,117.9999
UREAtex_num4,121.1044
URItex,33.589
VALtex_num1,41.2198
VALtex_num2,116.766
VALtex_num3,117.9999
VALtex_num4,121.1044
XANtex_num1,41.2198
XANtex_num2,116.766
XANtex_num3,117.9999
XANtex_num4,121.1044
XYLtex_num1,41.2198
XYLtex_num2,116.766
XYLtex_num3,117.9999
XYLtex_num4,121.1044
ABUTtex_num1,41.2198
ABUTtex_num2,116.766
ABUTtex_num3,117.9999
ABUTtex_num4,121.1044
FORtppi_num1,154.9536
FORtppi_num2,30.5646
GLCTR1,42.2841
LIPAabcpp,128.9214
LIPACabcpp,128.9214
GGGABADr,53.4186
GLYOX3,62.3809
FDMO3,166.9451
FDMO4,166.9451
BUTSO3abcpp_num1,147.8849
BUTSO3abcpp_num2,150.4835
ETHSO3abcpp,147.8849
O16GLCT1,43.1882
O16AP2pp,81.199
O16AP3pp,81.199
O16A4Lpp,46.8777
MALTATr,60.288
ENTERES,45.6519
23CAMPtex_num1,41.2198
23CAMPtex_num2,116.766
23CAMPtex_num3,117.9999
23CAMPtex_num4,121.1044
23CCMPtex_num1,41.2198
23CCMPtex_num2,116.766
23CCMPtex_num3,117.9999
23CCMPtex_num4,121.1044
23CUMPtex_num1,41.2198
23CUMPtex_num2,116.766
23CUMPtex_num3,117.9999
23CUMPtex_num4,121.1044
23CGMPtex_num1,41.2198
23CGMPtex_num2,116.766
23CGMPtex_num3,117.9999
23CGMPtex_num4,121.1044
3AMPtex_num1,41.2198
3AMPtex_num2,116.766
3AMPtex_num3,117.9999
3AMPtex_num4,121.1044
3CMPtex_num1,41.2198
3CMPtex_num2,116.766
3CMPtex_num3,117.9999
3CMPtex_num4,121.1044
LADGMDH,53.116
ALAGLUE,34.674
FEENTERtpp,43.282
FEENTERtex,161.2222
PTRCt2pp_num1,50.8531
PTRCt2pp_num2,46.4949
PTRCt2pp_num3,49.5376
GGGABAH,56.0261
FRULYSK,28.3318
FDMO6,166.9451
SULFACabcpp,147.8849
ETHSO3tex_num1,41.2198
ETHSO3tex_num2,116.766
ETHSO3tex_num3,117.9999
ETHSO3tex_num4,121.1044
BUTSO3tex_num1,41.2198
BUTSO3tex_num2,116.766
BUTSO3tex_num3,117.9999
BUTSO3tex_num4,121.1044
LIPOtex_num1,117.9999
LIPOtex_num2,41.2198
LIPOtex_num3,121.1044
LIPOtex_num4,116.766
CYANSTpp,11.4753
MCPST,30.8118
PHEMEabcpp,123.0541
GALBDtex_num1,117.9999
GALBDtex_num2,121.1044
GALBDtex_num3,116.766
GALBDtex_num4,41.2198
LIPAHT2ex,43.5392
LIPAHTex,43.5392
ECAP1pp,135.966
UDCPDPpp_num1,29.7588
UDCPDPpp_num2,29.0213
UDCPDPpp_num3,22.3986
ECAP2pp,135.966
ECA4OALpp,46.8777
FE3Ri,26.242
SULFACtex_num1,116.766
SULFACtex_num2,41.2198
SULFACtex_num3,121.1044
SULFACtex_num4,117.9999
NODOy,43.8677
GALM2pp,38.1905
CU1abcpp,87.8731
HG2abcpp,76.8399
GLCTR3,39.0403
HEPT4,41.7295
LA4NTpp,62.5426
NODOx,43.8677
NOtex_num1,41.2198
NOtex_num2,116.766
NOtex_num3,117.9999
NOtex_num4,121.1044
NHFRBO,258.3403
N2Otex_num1,41.2198
N2Otex_num2,116.766
N2Otex_num3,117.9999
N2Otex_num4,121.1044
CRNt8pp,169.7619
CRNt2rpp,109.6916
CRNDt2rpp,109.6916
CTBTt2rpp,109.6916
42A12BOOXpp,168.7573
TYROXDApp,168.7573
PEAMNtex_num1,41.2198
PEAMNtex_num2,116.766
PEAMNtex_num3,117.9999
PEAMNtex_num4,121.1044
PACALDtex_num1,41.2198
PACALDtex_num2,116.766
PACALDtex_num3,117.9999
PACALDtex_num4,121.1044
NTRIR4pp,134.0271
NTRIR3pp,134.0271
INOSTt4pp,62.085
AGM3PA,20.5362
CYANtex_num1,41.2198
CYANtex_num2,116.766
CYANtex_num3,117.9999
CYANtex_num4,121.1044
SO3tex_num1,41.2198
SO3tex_num2,116.766
SO3tex_num3,117.9999
SO3tex_num4,121.1044
TCYNTtex_num1,41.2198
TCYNTtex_num2,116.766
TCYNTtex_num3,117.9999
TCYNTtex_num4,121.1044
ACANTHAT,64.5492
METSOX1tex_num1,41.2198
METSOX1tex_num2,116.766
METSOX1tex_num3,117.9999
METSOX1tex_num4,121.1044
METSOX2tex_num1,41.2198
METSOX2tex_num2,116.766
METSOX2tex_num3,117.9999
METSOX2tex_num4,121.1044
3UMPtex_num1,41.2198
3UMPtex_num2,116.766
3UMPtex_num3,117.9999
3UMPtex_num4,121.1044
3GMPtex_num1,41.2198
3GMPtex_num2,116.766
3GMPtex_num3,117.9999
3GMPtex_num4,121.1044
METSOXR1_num1,101.4054
METSOXR1_num2,38.8698
METSOXR1_num3,35.1216
METSOXR1_num4,97.6573
METSOXR2_num1,48.0499
METSOXR2_num2,31.006
METSOXR2_num3,27.2578
METSOXR2_num4,51.798
DAPAL,86.6551
AMPTASECG_num1,277.081
AMPTASECG_num2,98.9189
AMPTASECG_num3,329.2789
AMPTASECG_num4,105.8308
DOPAtex_num1,41.2198
DOPAtex_num2,116.766
DOPAtex_num3,117.9999
DOPAtex_num4,121.1044
4HOXPACDtex_num1,41.2198
4HOXPACDtex_num2,116.766
4HOXPACDtex_num3,117.9999
4HOXPACDtex_num4,121.1044
LACZpp,83.46
GPDDA1pp,81.6867
GPDDA5pp,81.6867
ETHAtex_num1,41.2198
ETHAtex_num2,116.766
ETHAtex_num3,117.9999
ETHAtex_num4,121.1044
G3PStex_num1,41.2198
G3PStex_num2,116.766
G3PStex_num3,117.9999
G3PStex_num4,121.1044
FLVR_num1,26.242
FLVR_num2,786.1512
FDMO2,166.9451
LALGP,105.8308
AGM4PApp_num1,31.4121
AGM4PApp_num2,45.6344
AGM4PApp_num3,47.9852
AGM4PApp_num4,31.0724
AGM4PA,20.5362
RNDR3b_num1,258.1947
RNDR3b_num2,243.5294
RNDR3b_num3,242.982
RNDR3b_num4,259.602
RNDR4b_num1,259.602
RNDR4b_num2,243.5294
RNDR4b_num3,242.982
RNDR4b_num4,258.1947
ACGAL1Ptex_num1,41.2198
ACGAL1Ptex_num2,116.766
ACGAL1Ptex_num3,117.9999
ACGAL1Ptex_num4,121.1044
ACGALtex_num1,41.2198
ACGALtex_num2,116.766
ACGALtex_num3,117.9999
ACGALtex_num4,121.1044
GLCUR1Ptex_num1,41.2198
GLCUR1Ptex_num2,116.766
GLCUR1Ptex_num3,117.9999
GLCUR1Ptex_num4,121.1044
UDPGLCURtex_num1,41.2198
UDPGLCURtex_num2,116.766
UDPGLCURtex_num3,117.9999
UDPGLCURtex_num4,121.1044
UDPGALPpp,60.824
UACGAMPpp,60.824
UACGALPpp,60.824
UGLCURPpp,60.824
FEROpp_num1,56.5562
FEROpp_num2,443.8807
ISETACabcpp_num1,150.4835
ISETACabcpp_num2,147.8849
ISETACtex_num1,41.2198
ISETACtex_num2,116.766
ISETACtex_num3,117.9999
ISETACtex_num4,121.1044
UDPGtex_num1,41.2198
UDPGtex_num2,116.766
UDPGtex_num3,117.9999
UDPGtex_num4,121.1044
UDPGALtex_num1,121.1044
UDPGALtex_num2,117.9999
UDPGALtex_num3,41.2198
UDPGALtex_num4,116.766
ACGAM1Ptex_num1,41.2198
ACGAM1Ptex_num2,116.766
ACGAM1Ptex_num3,117.9999
ACGAM1Ptex_num4,121.1044
UACGAMtex_num1,41.2198
UACGAMtex_num2,116.766
UACGAMtex_num3,117.9999
UACGAMtex_num4,121.1044
UDPACGALtex_num1,41.2198
UDPACGALtex_num2,116.766
UDPACGALtex_num3,117.9999
UDPACGALtex_num4,121.1044
AM4PCP,33.5675
AM3PA,20.5362
UM4PCP,33.5675
CBLAT,21.9989
MSO3abcpp,147.8849
MSO3tex_num1,41.2198
MSO3tex_num2,116.766
MSO3tex_num3,117.9999
MSO3tex_num4,121.1044
TDP,17.4329
3PEPTabcpp_num1,206.8469
3PEPTabcpp_num2,200.7513
3PEPTabcpp_num3,201.75
4PEPTabcpp_num1,201.75
4PEPTabcpp_num2,206.8469
AGM3Pt2pp,53.2452
AGM4Pt2pp,53.2452
AGMt2pp,53.2452
FEOXAMR1,30.1128
FEOXAMR2,30.1128
FEOXAMR3,30.1128
PTHRpp_num1,104.4142
PTHRpp_num2,98.8772
ARABDI,389.86
AGt3,773.0108
CD2t3pp_num1,65.8545
CD2t3pp_num2,34.6784
ZNabcpp,178.747
SKMt2pp,47.8174
FE2t2pp,44.1937
R5PPpp_num1,104.4142
R5PPpp_num2,98.8772
PSP_Lpp_num1,104.4142
PSP_Lpp_num2,98.8772
TYRPpp,104.4142
GLYC2Ptex_num1,41.2198
GLYC2Ptex_num2,116.766
GLYC2Ptex_num3,117.9999
GLYC2Ptex_num4,121.1044
PSERtex_num1,41.2198
PSERtex_num2,116.766
PSERtex_num3,117.9999
PSERtex_num4,121.1044
R5Ptex_num1,41.2198
R5Ptex_num2,116.766
R5Ptex_num3,117.9999
R5Ptex_num4,121.1044
THRPtex_num1,41.2198
THRPtex_num2,116.766
THRPtex_num3,117.9999
THRPtex_num4,121.1044
TYRPtex_num1,41.2198
TYRPtex_num2,116.766
TYRPtex_num3,117.9999
TYRPtex_num4,121.1044
PAPSR2_num1,80.3019
PAPSR2_num2,65.0891
PAPSR2_num3,65.6365
PAPSR2_num4,81.7092
GRXR_num1,25.7575
GRXR_num2,24.3502
GRXR_num3,9.1375
GRXR_num4,9.6849
RNDR1b_num1,243.5294
RNDR1b_num2,258.1947
RNDR1b_num3,242.982
RNDR1b_num4,259.602
RNDR2b_num1,259.602
RNDR2b_num2,243.5294
RNDR2b_num3,258.1947
RNDR2b_num4,242.982
FACOAE181,127.8653
FACOAE160,127.8653
FACOAE140,127.8653
AAMYL,56.6394
AAMYLpp,75.7127
FACOAL80t2pp_num1,124.664
FACOAL80t2pp_num2,60.7731
PPGPPDP,79.3424
CPGNabcpp,161.1942
CITtex_num1,41.2198
CITtex_num2,116.766
CITtex_num3,117.9999
CITtex_num4,121.1044
ACGAtex_num1,41.2198
ACGAtex_num2,116.766
ACGAtex_num3,117.9999
ACGAtex_num4,121.1044
DDCAtexi,48.5416
TTDCAtexi,48.5416
HDCAtexi,48.5416
23PDE2pp,70.8322
23PDE4pp,70.8322
23PDE9pp,70.8322
SARCOX,40.902
MN6PP_num1,29.7211
MN6PP_num2,30.4128
MN6PP_num3,24.3302
MN6PP_num4,29.7077
3KGK,110.3097
F6PP_num1,23.0075
F6PP_num2,29.7211
F6PP_num3,30.4128
F6PP_num4,20.7798
F6PP_num5,29.7077
GDPMNH,36.547
FACOAL60t2pp_num1,124.664
FACOAL60t2pp_num2,60.7731
IDONt2rpp,46.0413
ILEabcpp,173.0651
INDOLEt2pp,743.4914
INSt2pp_num1,46.1398
INSt2pp_num2,46.3892
INSt2pp_num3,43.4758
LYXt2pp,37.3198
GDPDPK_num1,83.8756
GDPDPK_num2,79.3424
OCDCAtexi,48.5416
OCDCEAtexi,48.5416
G6Ptex_num1,41.2198
G6Ptex_num2,116.766
G6Ptex_num3,117.9999
G6Ptex_num4,121.1044
TUNGSabcpp,116.3443
MOBDabcpp_num1,181.6066
MOBDabcpp_num2,116.3443
MOBDabcpp_num3,182.5619
MOBDtex_num1,41.2198
MOBDtex_num2,116.766
MOBDtex_num3,117.9999
MOBDtex_num4,121.1044
NI2uabcpp_num1,180.8711
NI2uabcpp_num2,99.4665
NI2tex_num1,41.2198
NI2tex_num2,116.766
NI2tex_num3,117.9999
NI2tex_num4,121.1044
R15BPK,20.7296
Kabcpp_num1,151.6554
Kabcpp_num2,154.7272
LEUabcpp_num1,173.0651
LEUabcpp_num2,173.3673
L_LACt2rpp_num1,59.1682
L_LACt2rpp_num2,58.9202
MALt2_2pp,45.4363
MALt2_3pp_num1,47.9353
MALt2_3pp_num2,45.7507
MALTabcpp,214.6074
MALTHXabcpp,214.6074
MALTPTabcpp,214.6074
MALTTRabcpp,214.6074
MALTTTRabcpp,214.6074
MAN6Pt6_2pp,50.6066
MANGLYCptspp,205.911
MELIBt2pp_num1,52.6364
MELIBt2pp_num2,46.5033
METabcpp,151.5206
GGPTRCS,638.1259
RMNtpp,37.3198
SERt4pp,43.4777
SUCCt2_3pp_num1,47.9353
SUCCt2_3pp_num2,45.7507
MNLptspp_num1,201.2603
MNLptspp_num2,272.1876
MNLptspp_num3,203.4595
NAt3_1p5pp,56.7284
NAt3_2pp,82.7114
NH4tpp,133.5441
NMNPtpp,26.9962
NO2t2rpp_num1,49.6934
NO2t2rpp_num2,28.5625
NO3t7pp_num1,49.6934
NO3t7pp_num2,49.8902
ORNabcpp,136.8168
PIuabcpp,161.5213
PNTOt4pp,51.717
FRULYSDG,462.8308
METDabcpp,151.5205
PROabcpp,199.5875
PROt2rpp_num1,109.6916
PROt2rpp_num2,50.2157
PROt4pp,54.3442
PTRCabcpp_num1,142.4178
PTRCabcpp_num2,190.7312
PTRCabcpp_num3,185.0964
ASNNpp,147.4028
GLUNpp,147.4028
NTD12_num1,25.3988
NTD12_num2,26.9004
NTD12_num3,45.4161
NTD12_num4,20.2554
FECRMtonex,150.0909
ADOCBLabcpp,153.4278
CRNabcpp,199.5875
CRNDabcpp,199.5875
DNTPPA_num1,17.3058
DNTPPA_num2,14.9271
CTBTabcpp,199.5875
NTPP9,42.0777
NTPP10,42.0777
NTPP11,42.0777
NTD10pp_num1,104.4142
NTD10pp_num2,60.824
NTD1pp_num1,60.824
NTD1pp_num2,104.4142
NTD2pp_num1,60.824
NTD2pp_num2,104.4142
NTD2pp_num3,98.8772
NTD3pp_num1,60.824
NTD3pp_num2,104.4142
NTD4pp_num1,104.4142
NTD4pp_num2,60.824
NTD4pp_num3,98.8772
NTD5pp_num1,104.4142
NTD5pp_num2,60.824
NTD6pp_num1,60.824
NTD6pp_num2,104.4142
NTD7pp_num1,104.4142
NTD7pp_num2,60.824
NTD7pp_num3,98.8772
NTD9pp_num1,104.4142
NTD9pp_num2,60.824
NTD9pp_num3,98.8772
PEAMNOpp,168.7573
GAL1PPpp,91.3658
H2O2tex_num1,41.2198
H2O2tex_num2,116.766
H2O2tex_num3,117.9999
H2O2tex_num4,121.1044
ARGDCpp,295.5938
ALLPI,32.1466
ALLK,33.8209
ALLULPE,26.1092
ADEtex_num1,41.2198
ADEtex_num2,116.766
ADEtex_num3,117.9999
ADEtex_num4,121.1044
ADNtex,33.589
AGMtex_num1,41.2198
AGMtex_num2,116.766
AGMtex_num3,117.9999
AGMtex_num4,121.1044
ALAtex_num1,121.1044
ALAtex_num2,116.766
ALAtex_num3,41.2198
ALAtex_num4,117.9999
BALAtex_num1,41.2198
BALAtex_num2,116.766
BALAtex_num3,117.9999
BALAtex_num4,121.1044
DALAtex_num1,41.2198
DALAtex_num2,116.766
DALAtex_num3,117.9999
DALAtex_num4,121.1044
AMPtex_num1,117.9999
AMPtex_num2,121.1044
AMPtex_num3,116.766
AMPtex_num4,41.2198
ARBtex_num1,41.2198
ARBtex_num2,116.766
ARBtex_num3,117.9999
ARBtex_num4,121.1044
ARGtex_num1,41.2198
ARGtex_num2,116.766
ARGtex_num3,117.9999
ARGtex_num4,121.1044
ASCBtex_num1,41.2198
ASCBtex_num2,116.766
ASCBtex_num3,117.9999
ASCBtex_num4,121.1044
FACOAL100t2pp_num1,124.664
FACOAL100t2pp_num2,60.7731
RIBabcpp_num1,305.8207
RIBabcpp_num2,160.2413
RIBabcpp_num3,158.2861
GPDDA3pp,81.6867
GPDDA4pp,81.6867
GPDDA2pp,81.6867
FACOAL120t2pp_num1,60.7731
FACOAL120t2pp_num2,124.664
FACOAL140t2pp_num1,60.7731
FACOAL140t2pp_num2,124.664
FE3HOXtonex,150.0909
CU2abcpp,76.8399
COBALT2abcpp,76.8399
NI2abcpp,76.8399
MG2uabcpp,99.4665
HCYSMT2,33.4228
MMETtex_num1,41.2198
MMETtex_num2,116.766
MMETtex_num3,117.9999
MMETtex_num4,121.1044
FE3tex_num1,41.2198
FE3tex_num2,116.766
FE3tex_num3,117.9999
FE3tex_num4,121.1044
MG2tex_num1,41.2198
MG2tex_num2,116.766
MG2tex_num3,117.9999
MG2tex_num4,121.1044
Zn2tex_num1,41.2198
Zn2tex_num2,116.766
Zn2tex_num3,117.9999
Zn2tex_num4,121.1044
MMETt2pp,50.5258
CD2tex_num1,41.2198
CD2tex_num2,116.766
CD2tex_num3,117.9999
CD2tex_num4,121.1044
GLNabcpp,129.3807
GLUabcpp,139.1598
GLUABUTt7pp,55.0767
GLUt2rpp,47.1592
GLUt4pp,42.4251
GLYALDtpp,119.12
ACGK,54.3191
LCTSt3ipp_num1,42.7461
LCTSt3ipp_num2,42.5382
LCTSt3ipp_num3,42.7132
ARBt3ipp,42.5382
14GLUCANabcpp,214.6074
14GLUCANtexi,149.7367
DHPTPE,112.6563
NADPHQR2,43.7818
NADPHQR3,43.7818
NADPHQR4,43.7818
GLBRAN2,84.3369
ASR,40.2035
ASO3tex_num1,41.2198
ASO3tex_num2,116.766
ASO3tex_num3,117.9999
ASO3tex_num4,121.1044
MANGLYCtex_num1,41.2198
MANGLYCtex_num2,116.766
MANGLYCtex_num3,117.9999
MANGLYCtex_num4,121.1044
FRUURt2rpp,47.1379
FRUURtex_num1,41.2198
FRUURtex_num2,116.766
FRUURtex_num3,117.9999
FRUURtex_num4,121.1044
ECAtpp,44.9597
O16AT,21.6751
O16GALFT,37.7572
O16AUNDtpp,45.3826
O16AP1pp,81.199
GLYCAt2rpp_num1,49.0092
GLYCAt2rpp_num2,49.1421
GLYCAtex_num1,41.2198
GLYCAtex_num2,116.766
GLYCAtex_num3,117.9999
GLYCAtex_num4,121.1044
AGM4PCP,33.5675
4PCP,33.5675
4PCPpp,21.0399
FALDH2,78.718
GLYBabcpp_num1,133.6869
GLYBabcpp_num2,199.5875
GLYC3Pt6pp,50.3104
GLYCLTt4pp,118.3942
GLYCtpp,119.12
H2Otpp,94.8112
HCINNMt2rpp,41.5508
HISabcpp,137.3085
HISt2rpp,49.6901
CBIAT,21.9989
LYSabcpp,136.8168
COBALT2tex_num1,41.2198
COBALT2tex_num2,116.766
COBALT2tex_num3,117.9999
COBALT2tex_num4,121.1044
PPDOy,37.9784
NTD12pp_num1,60.824
NTD12pp_num2,104.4142
PPA2_num1,116.2719
PPA2_num2,26.9004
DIMPtex_num1,41.2198
DIMPtex_num2,116.766
DIMPtex_num3,117.9999
DIMPtex_num4,121.1044
3NTD7pp_num1,70.8322
3NTD7pp_num2,98.8772
3NTD4pp_num1,98.8772
3NTD4pp_num2,70.8322
3NTD4pp_num3,98.8772
3NTD2pp_num1,70.8322
3NTD2pp_num2,98.8772
3NTD9pp_num1,70.8322
3NTD9pp_num2,98.8772
23PDE7pp,70.8322
GALTptspp,260.1026
GALURt2rpp,46.8923
GLCNt2rpp_num1,45.9666
GLCNt2rpp_num2,47.1379
GLCNt2rpp_num3,46.4159
GLCNt2rpp_num4,46.0413
GLCptspp_num1,255.8472
GLCptspp_num2,211.1211
GLCptspp_num3,295.8849
GLCRt2rpp_num1,49.0092
GLCRt2rpp_num2,49.1421
GLCt2pp,50.9825
GLCURt2rpp_num1,33.6693
GLCURt2rpp_num2,46.8923
ACMUMptspp,204.296
HSTPT,78.7203
THDPS,59.7842
ACONMT,29.006
XTSNtex_num1,41.2198
XTSNtex_num2,116.766
XTSNtex_num3,117.9999
XTSNtex_num4,121.1044
GNK_num1,39.0866
GNK_num2,21.004
HMBS,33.8518
RMK,54.069
FHL_num1,467.4248
FHL_num2,311.4924
MEPCT,51.4745
GLUDy,291.4882
ZN2abcpp,76.8399
GLYCLTDy_num1,35.3434
GLYCLTDy_num2,70.791
LYSDC_num1,805.903
