,MW
IPMD_num1,79.034
IPMD_num2,40.3149
AIRC3,142.2426
ADSL2r,206.1712
PUNP5_num1,179.0077
PUNP5_num2,155.6995
PUNP6_num1,155.6995
PUNP6_num2,179.0077
PUNP7,179.0077
RNDR1_num1,274.1399
RNDR1_num2,270.3917
RNDR3_num1,270.3917
RNDR3_num2,274.1399
RNDR4_num1,270.3917
RNDR4_num2,274.1399
TMDS,60.9594
TMDK1,23.4566
PPCDC,521.2577
FTHFD,191.6083
EDD,64.639
DHQTi,54.9333
PUNP1,155.6995
PUNP2,155.6995
PUNP3_num1,179.0077
PUNP3_num2,155.6995
LYSAM,38.7496
DHAD1,131.0631
IPPMIa,72.3693
G3PD7,148.4235
NADH9_num1,40.34
NADH9_num2,47.3587
NADH9_num3,83.3822
NADH9_num4,40.7511
NADH10_num1,40.34
NADH10_num2,47.3587
NADH10_num3,40.7511
NADH10_num4,83.3822
MDH,64.6746
FUM_num1,120.2106
FUM_num2,120.5972
FUM_num3,201.9555
PYDXNK,61.6948
PYAM5PO,51.0903
OHPBAT,79.5666
GLUTRR,92.6136
GLCS1,52.8224
GLCP_num1,186.3451
GLCP_num2,181.0448
HEMEOS,32.2485
ADMDC,30.3846
AGMT,67.1141
ARGDC,844.2524
ARGSS,199.5936
AGPR,35.9521
SPMS,64.6428
G1SAT,90.7322
KDOCT2,27.6144
OAADC,66.8521
MNNH,44.838
ALTRH,54.0931
GUI1,53.9872
PGAMT,47.5436
UAGDP,147.5702
UAGCVT,44.8176
GLUR,31.002
UAG2E,84.4892
MACPD,85.2266
DMQMT,53.1109
ICHORS_copy1,42.9316
HACD5_num1,159.1878
HACD5_num2,77.0722
HPPK2,18.0788
PTPATi,107.0198
HEX7,32.4998
DXPRIi,86.776
OPHBDC,333.6225
OHPHM,53.1109
GHMT2r,90.6332
DHORD2,36.7745
ADK4,23.586
INSK,96.8976
ABTA_num1,91.5493
ABTA_num2,44.7291
SSALx,99.4357
ASPT,209.4245
SERD_L_num1,211.0938
SERD_L_num2,48.9066
SERD_L_num3,97.0433
SERD_L_num4,48.7529
SERD_L_num5,140.9296
THRD_num1,148.9562
THRD_num2,40.3513
KARA1,216.2761
KARA2,216.2761
ACCOAC,252.4556
NADK,195.3983
ICHORS_copy2,97.5291
SUCBZS,35.4766
DHBD,104.9986
ICHORT,32.5543
RBK_L1,122.1788
RBP4E_num1,25.2777
RBP4E_num2,102.0756
RBP4E_num3,25.5609
NTD2_num1,25.3006
NTD2_num2,26.9004
NTD2_num3,27.1631
NTD4_num1,26.9004
NTD4_num2,27.1631
NTD5_num1,45.4161
NTD5_num2,26.9004
NTD5_num3,25.3006
NTD5_num4,20.2554
NTD6_num1,45.4161
NTD6_num2,26.9004
NTD6_num3,20.2554
LGTHL,29.8397
