,fluxes,reduced_costs
EDD,0.0,11.321243720499972
DHQTi,0.2592539591078896,-2.7626484844587793
PUNP1,0.0,-20.279995376906
PUNP2,0.0,123.31287999113619
PUNP3_num1,0.0,62.8830571082993
LYSAM,0.0,-6.341050032931008
DHAD1,0.594783011246589,-2.255606491804599
IPPMIa,0.0,23.842103989132852
EX_alltn_e,0.0,65.40473367632065
G3PD7,0.0,23.182264883413154
NADH9_num1,0.0,32.32102762978275
NADH10_num1,0.0,32.81507675901548
MDH,1.0656500324561504,-9.35769852486169
FUM_num1,1.0664527205187828,-5.397475505860211
PYDXNK,0.0,50.84762006579069
PYAM5PO,0.0,-18.197919171963804
OHPBAT,0.0,-65175.57353934215
EX_dgsn_e,0.0,1011.8329981344098
EX_arab__L_e,0.0,-2.0000000000021387
EX_fru_e,0.0,69.60235742324441
EX_gal_e,0.0,93.39774863139466
EX_xyl__D_e,0.0,-2.000000000001176
EX_duri_e,0.0,479.79508375089836
EX_for_e,0.0,24.58866054280952
EX_gly_e,0.0,19.13947626540903
EX_h2_e,0.0,10.84970992307289
EX_lys__L_e,0.0,356.4773766616524
EX_ser__L_e,0.0,66.19439401743512
EX_thm_e,0.0,50891.54358557102
EX_trp__L_e,0.0,627.8771612191374
GLUTRR,0.0024271110233206757,-30.209707866840517
GLCS1,0.0,-14.03437652873157
GLCP_num1,0.0,10.006600823913887
EX_din_e,0.0,748.4424765442334
EX_fmn_e,0.0,0.0
EX_gthox_e,0.0,0.0
HEMEOS,0.0,-11.235394003023677
ADMDC,0.0,1391.3104184912029
AGMT,0.0,-7.662829295705421
ARGDC,0.0,510.3945402356023
ARGSS,0.20121076900506427,-60.388768329127345
AGPR,0.0,8.360177925651897
SPMS,0.0,-11.19535851744746
G1SAT,0.0024271110233206757,-827.7710743908303
KDOCT2,0.026469659231909793,-7.385512708984285
OAADC,0.0,30.58459142862457
MNNH,0.0,19.29014496858884
ALTRH,0.0,-4.2833144088887956
GUI1,0.0,-3.847704645211607
PGAMT,0.0,25.362148901298497
UAGDP,0.06427490649426122,-9.554738170535293
UAGCVT,0.018902623631175713,-13.124369108496852
GLUR,0.0,5.452387480896846
UAG2E,0.0,-6.354906984077104
EX_acald_e,0.0,29.850289146320847
