,MW,kcat,kcat_MW
FACOAE120,127.8653,79200.0,619.4018236378439
3OAR120,102.2412,9300.0298536,90.96166568467508
3HAD80_num1,37.9381,9300.0309192,245.1369709922215
3HAD80_num2,102.1977,9300.0309192,91.0003935431032
3HAD120_num1,102.1977,9300.0452292,91.0005335658239
3HAD120_num2,37.9381,9300.0452292,245.1373481855971
EAR180x,111.4558,12882.055338,115.5799459337244
EAR180y,111.4558,9300.0323412,83.4414390386144
AGPAT120,27.4532,9300.2419512,338.7671364795361
PGPP120_num1,19.4181,9300.055518,478.937461337618
PGPP120_num2,29.0213,9300.055518,320.45620003239
DAGK120,39.734,18231.9674004,458.8505411083707
PSSA180,52.8018,22589.4312324,427.8155523561697
PSSA161,52.8018,64800.0,1227.2308898560275
PSSA141,52.8018,10725.5560896,203.12860716111948
PSD160,35.9344,24120.0,671.2231176811079
PSD161,35.9344,28440.0,791.4421835344406
PSD180,35.9344,11039.1984792,307.2041965136471
COLIPAabcpp,128.9214,9847.991952,76.38756600533348
PLIPA2A140pp,66.3263,9319.1450364,140.50452137990513
PLIPA2A141pp,66.3263,9319.1463468,140.50454113677378
PLIPA2A180pp,66.3263,9300.0429936,140.21652034864
CU1Opp,56.5562,40900.175316,723.1775705581351
SUCDi,355.0752,383163.80256,1079.1060669965125
LPLIPAL1E141pp,94.4886,9609.1313976,101.69619824613764
LALDO2x,309.6976,30808.043784,99.47782541421049
LPLIPAL1E160pp,94.4886,15013.902981600002,158.8964486890482
LPLIPAL1E180pp,94.4886,9300.0576852,98.42518235215675
LPLIPAL1E181pp,94.4886,9300.0516624,98.42511861113402
LPLIPAL1G160pp,94.4886,9751.6555632,103.20457243730988
LPLIPAL1G161pp,94.4886,15394.0421844,162.91957108476578
LPLIPAL1G120pp,94.4886,9607.4527932,101.67843309351603
PLIPA2E140pp,66.3263,9652.1452848,145.52515796599536
PLIPA2E160pp,66.3263,9379.5569748,141.41535069497317
PLIPA2A161pp,66.3263,9331.8480792,140.6960448449559
PLIPA2A181pp,66.3263,12083.6424744,182.18478151804035
ALR4x,309.6976,45141.945912,145.761368225004
LPLIPAL1G141pp,94.4886,9300.0566916,98.42517183660252
LPLIPAL1G180pp,94.4886,14240.04696,150.7065080866898
LPLIPAL1G181pp,94.4886,9300.05235,98.42512588820236
ACONTb_num1,186.9962,102219.957216,546.6418954823681
ACONTb_num2,195.3544,102219.957216,523.2539283271838
GLCP2_num1,181.0448,256439.292408,1416.441082030525
GLCP2_num2,186.3451,256439.292408,1376.152592195877
PLIPA2E141pp,66.3263,11806.1460288,178.00097440683408
PLIPA2E181pp,66.3263,9300.0593736,140.21676730949866
PLIPA2G140pp,66.3263,9300.0540924,140.21668768497562
3HAD161_num1,37.9381,9300.0280716,245.1368959331121
3HAD161_num2,102.1977,9300.0280716,91.00036567946243
PLIPA2G160pp,66.3263,9331.087626,140.68457951069183
PLIPA2G181pp,66.3263,9300.2626512,140.2198321208932
ASNS1,125.318,11068.8972336,88.32647531559711
EAR80y,111.4558,9300.0290868,83.44140983959561
EAR120y,111.4558,9300.0252456,83.44137537570947
3OAR181,102.2412,16993.4490108,166.2094049248248
3HAD121_num1,37.9381,9300.0397968,245.13720499445148
3HAD121_num2,102.1977,9300.0397968,91.0004804100288
EAR121y,111.4558,9300.0323088,83.44143874791622
GTHRDHpp,61.768,75119.991624,1216.1635737598756
MDDCP2pp_num1,47.7524,26499.778704,554.9412951809752
MDDCP2pp_num2,87.2178,26499.778704,303.83452350322983
MDDCP2pp_num3,88.8879,26499.778704,298.12582706982613
MDDCP2pp_num4,51.7983,26499.778704,511.5955292741268
MDDCP2pp_num5,43.3461,26499.778704,611.353240637566
MDDCP2pp_num6,41.849,26499.778704,633.2237019761524
MDDCP3pp_num1,47.7524,26609.0792328,557.2301964466707
MDDCP3pp_num2,87.2178,26609.0792328,305.0877141225759
MDDCP3pp_num3,88.8879,26609.0792328,299.35547169862264
MDDCP3pp_num4,51.7983,26609.0792328,513.7056473436387
MDDCP3pp_num5,43.3461,26609.0792328,613.874817637573
MDDCP3pp_num6,41.849,26609.0792328,635.8354855026405
