,kcat_mw,flux,enz useage,enz ratio
GLCDpp_num2,1061.316074973511,2.1127855760432555,0.0019907222983464074,0.008769701754829988
MOHMT,0.127490310736384,0.0002483758124083,0.00194819363898073,0.008582350832514228
PYK_num2,2106.4933131018142,4.043116224369835,0.0019193586797654444,0.008455324580464512
3OAR140,45.77411063250431,0.0757111385918779,0.0016540165946581,0.007286416716555506
PSERT,375.5344579258132,0.6128986404767836,0.0016320703134993318,0.007189737063873708
HCO3E_num2,689.2706481374333,1.0543575347341856,0.0015296713092067685,0.006738640128664178
PGCD,407.4631401486448,0.6128986404767836,0.0015041818021949045,0.006626351551519403
3OAR80,90.96170251522868,0.1311453770324821,0.0014417647582016832,0.006351386600007415
3OAR100,90.96174871186956,0.1311453770324821,0.001441764025974239,0.006351383374335854
ASAD_reverse,283.3731904972525,0.3939653116117173,0.0013902702331169787,0.006124538471880964
TPI,4805.018574956065,6.566173003330208,0.0013665239584199206,0.006019929332246346
CYTBO3_4pp,14260.636889682788,19.078065712514128,0.0013378130205612786,0.005893449429785368
ASPTA_reverse_num2,868.2110717583342,1.0789323682684118,0.0012427074514073135,0.005474482164789927
3OAS80_num1,109.12153394832129,0.1311453770324821,0.0012018285693691866,0.005294398984005228
3OAS100_num1,109.12167435518958,0.1311453770324821,0.0012018270229762573,0.005294392171701574
3OAR40,116.06766918228658,0.1311453770324821,0.0011299044596692614,0.004977552685767671
CS,362.3868799288,0.396219119428764,0.0010933594491793167,0.004816561450129148
PRASCSi,155.5843674754584,0.1650166150468621,0.0010606246483785815,0.004672355279200799
EAR60y,128.30778405071786,0.1311453770324821,0.0010221155170183798,0.00450271152871533
SULR,91.07561809483975,0.0911996184071956,0.0010013615094242537,0.004411284182485699
ILETA_reverse,107.3513689499364,0.1070628730017703,0.0009973126011248105,0.004393447582047624
EAR80x,131.9527288665103,0.1311453770324821,0.0009938815071051318,0.004378332630419083
SUCOAS,201.01868440912375,0.1934523289766713,0.0009623599395514249,0.004239471099345484
ACONTa_num1,416.4902481868616,0.396219119428764,0.0009513286833332942,0.004190875256974864
OGMEACPD,0.000774968516904,7.370202149646702e-07,0.0009510324598850373,0.0041895703078636
OPMEACPD,0.000774968516904,7.37020214861651e-07,0.0009510324597521039,0.0041895703072779905
THDPS,144.51978950960287,0.1366984558413572,0.0009458805351517208,0.004166874604192602
ICDHyr,432.72351371493136,0.396219119428764,0.0009156403728265719,0.004033658030073004
3OAR60,143.5490126172228,0.1311453770324821,0.0009135930275061153,0.004024638887692138
ADSS,125.46216650350247,0.1102965491944588,0.0008791219876741065,0.003872784086670073
3OAR120,90.96166568467508,0.0757111385918779,0.0008323411628623404,0.0036667011579838782
3OAS60_num2,166.74167823660687,0.1311453770324821,0.000786518274371609,0.0034648382130907885
MTHFR2,73.40785388514088,0.0568828516729148,0.0007748878173433286,0.0034136027195741346
EPMEACPR,0.0009689939868539,7.37020214861651e-07,0.0007606034968850381,0.0033506761977314453
EGMEACPR,0.0009689939868539,7.37020214861651e-07,0.0007606034968850381,0.0033506761977314453
OPMEACPS,0.0010137680020087,7.37020214861651e-07,0.0007270107296751372,0.0032026904390975207
ACONTb_num1,546.6418954823681,0.396219119428764,0.0007248239161748334,0.003193056899448605
ASPCT_num2,168.43140173757115,0.1219013009875799,0.0007237445020941602,0.0031883017713399127
3OAS120_num2,109.12138826141133,0.0757111385918779,0.000693824921018272,0.0030564974494197003
ALATA_L_reverse_num1,536.8294618206024,0.3703548690286241,0.0006898929648395289,0.0030391760565618015
KDOPS,21.01664790952463,0.0143394653003482,0.0006822907897624166,0.003005686298512848
EAR161y,84.22734700571885,0.0554342384406042,0.0006581501188306493,0.002899339730531495
THRS,305.6429326439387,0.2005490966255741,0.0006561548630970815,0.002890550057696394
EAR100x,119.55303529829762,0.0757111385918779,0.0006332849551077521,0.002789801564351331
ADSL1r,174.61216697579488,0.1102965491944588,0.000631665886202239,0.0027826691022125065
ADSL2r,261.9182504636923,0.1650166150468621,0.0006300309915583263,0.002775466923164433
TALA_num2,1400.4317579952217,0.8755340743289162,0.0006251886743715958,0.0027541351293902897
OGMEACPR,0.0011971690473116,7.370202149646702e-07,0.0006156358758353682,0.0027120523164553666
OPMEACPR,0.0011971690473116,7.37020214861651e-07,0.0006156358757493158,0.002712052316076281
3OAR121,90.96163709346132,0.0554342384406042,0.0006094243706678959,0.0026846888575678234
