reactions,data_type,kcat,MW,kcat_MW
FAO182p_evenodd_num2,DLkcat,122.5771,98373.1513000006,1043.97030598172
ERGSTAT_SC_num2,DLkcat,122.5771,74126.84700000024,5953.0059331944685
FAO161p_odd_num2,DLkcat,122.5771,30302.45970000002,1127.6300664001626
FAO181p_even_num3,DLkcat,122.5771,31359.827600000008,971.9528665766929
ITCOALm,DLkcat,116.1493,34984.971300000034,5106.393442790516
PGK_reverse,DLkcat,115.3371,44698.84760000004,9289.133440657197
FACOAL181_num3,DLkcat,112.5043,77283.92020000028,5240.617698376001
FAO182p_eveneven_num1,DLkcat,112.5043,98373.1513000006,958.1818177723181
ALCD24xi_num1,DLkcat,111.8473,41041.60180000002,
ARGSS_reverse,DLkcat,111.7068,46936.932,8567.762375265602
TYRTRS,DLkcat,107.1838,44141.76499999999,8741.419379129948
VALTA_reverse,DLkcat,107.1838,41888.47509999998,4605.821518673523
GLNt7_num1,DLkcat,104.6944,75458.51530000036,1248.6988330659556
ALCD22xi_num1,DLkcat,104.0259,37608.62360000002,9957.642799775309
MTHFCm_reverse,DLkcat,103.3388,106216.11210000076,1751.239396004956
ALAt2r_num4,DLkcat,100.5468,65559.7464000002,2760.600062357769
MIPCS126_SC_num1,DLkcat,98.0027,44806.3625,3909.3377700996652
SUCD3_u6m_reverse_num1,DLkcat,90.9649,22228.93160000001,2291.0382216093726
ALDD2y,DLkcat,86.949,15343.894399999986,20400.06219020904
TMPPP,DLkcat,83.905,58006.17030000004,5207.342571278142
THIORDXi_num2,DLkcat,83.905,11274.83399999999,5569.415348863823
ALAt2r_num3,DLkcat,83.8878,69808.64410000037,2163.0278305319384
SERPT,DLkcat,83.4555,62206.40310000016,2386.9854285549595
NTRLASE2_num1,DLkcat,82.8455,21619.8718,6897.446080138181
23CAPPD,DLkcat,82.0258,26934.364100000013,10963.424972784112
ASNt2r_num2,DLkcat,77.7557,69808.64410000037,2004.9130276690084
PHETRSm,DLkcat,77.2293,54828.22110000005,5070.846261689124
HPROxm,DLkcat,76.8756,64434.39530000019,2147.549912678386
GCCcm_reverse,DLkcat,76.2318,53967.37120000005,1187.9881057194232
FRUt2_num13,DLkcat,76.0275,62734.35340000016,2181.4124571817083
