,kcat,data_type,MW,kcat_MW
FACOAL181_num1,5403.507963854259,fill,33171.82650000006,586420.18611412
FAS120,9.280531818181819,Other_species,864699.7012000058,38.637592333025225
FAS140_num1,9.280531818181819,Other_species,69744.24159999994,479.03473862499607
GLUR,119.5,Database,114569.84040000002,3754.914892942453
FDH_num1,23.175384615384615,Other_species,113655.12140000038,734.075012086383
FAS160,9.280531818181819,Other_species,864699.7012000058,38.637592333025225
GLUSy,23.6,Other_species,379745.9902000001,223.72849797638224
FAS161,5403.507963854259,fill,864699.7012000058,22496.398047645354
FAS180,9.280531818181819,Other_species,864699.7012000058,38.637592333025225
FHL,5403.507963854259,fill,32152.921600000038,605003.4554208383
FAS181,5403.507963854259,fill,864699.7012000058,22496.398047645354
FMNAT,0.40286893636363635,Other_species,72179.56760000011,20.093334154430273
GLYBabc,5403.507963854259,fill,242435.11120000013,80238.49587458321
FOLD3_num1,0.5833333,Database,57685.240200000015,36.404457582548126
FAS200,5403.507963854259,fill,864699.7012000058,22496.398047645354
GLYCK,275.0,Other_species,37831.595200000025,26168.60311510204
GLYCL,136.75,Database,14237.414799999986,34577.906657604755
GLYCTO1,30.26505128205128,Other_species,47269.46480000008,2304.9591332666078
DHFR_copy2,1.95,Database,27693.20450000002,253.4917907387711
FOMETRi,15.391666666666666,Other_species,38317.11880000001,1446.0899393093196
FRD_num1,143.95710256410257,Other_species,237571.99720000027,2181.4253166987673
FRD2_num1,5403.507963854259,fill,237571.99720000027,81880.98302469173
GLYCTO2,5403.507963854259,fill,47269.46480000008,411526.3151842434
GLYCTO3,5403.507963854259,fill,47269.46480000008,411526.3151842434
GLYCTO4,5403.507963854259,fill,47269.46480000008,411526.3151842434
FAS240_L,5403.507963854259,fill,864699.7012000058,22496.398047645354
FRRPPDIMAS,5403.507963854259,fill,87036.96930000007,223498.4607842419
GLYK,2191.34,Other_species,111718.32060000021,70613.52119895711
GLYt2r,5403.507963854259,fill,120092.91600000046,161979.81794259418
FAS260,5403.507963854259,fill,864699.7012000058,22496.398047645354
GMAND_num1,4.316,Other_species,70560.07640000008,220.20384320332147
GMPS2,2.58,Database,112118.2458000001,82.84111059468601
FTHFCL,114.29444444444445,Other_species,21412.705899999994,19215.693799820045
FUM,374.3333333333333,Other_species,200561.61080000026,6719.132313630173
FUMt2r,5403.507963854259,fill,203949.34000000043,95379.70885257727
GMT1,5403.507963854259,fill,93823.2265000006,207332.7617855394
FAS80_L,9.280531818181819,Other_species,864699.7012000058,38.637592333025225
GND_num1,28.702222222222222,Other_species,36357.69760000006,2841.9841414820457
GPDDA2_num1,12.048782142857142,Other_species,29003.07640000002,1495.5522343928205
G16MTM1,5403.507963854259,fill,40445.00160000006,480964.9623026669
G16MTM10,5403.507963854259,fill,76189.18700000006,255320.0714672978
G16MTM2,5403.507963854259,fill,82439.33000000022,235962.9641564928
GRTT,0.345,Database,58819.87520000004,21.11531171694834
G16MTM6,5403.507963854259,fill,82439.33000000022,235962.9641564928
