reactions,metabolites,metabolitestotal,gpr,genes
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS03350
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS10390
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS02075
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS10395
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS12755
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS11900
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS04735
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS06400
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS11905
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS11800
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS09705
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS02720
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS06405
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS05140
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS06760
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS03350
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS10390
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS02075
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS10395
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS12755
