,gpr,ec
PPS,b1702,2.7.9.2
PGI,b4025,5.3.1.9
PGK,b2926,2.7.2.3
EDA,b1850,"['4.1.2.14', '4.1.2.55']"
PGL,b0767,3.1.1.31
RPE,b3386,5.1.3.1
TALA,b0008 or b2464,2.2.1.2
TKT1,b2935 or b2465,2.2.1.1
G6PDA,b0678,3.5.99.6
ALCD2x,b1241 or b1478,"['1.1.1.1', '1.1.1.71']"
ALDD2y,b0493 or b3011 or b3588 or b3003 or b4269,"['1.2.1.-', '1.2.1.4', '1.2.1.5']"
RMI,b3903,5.3.1.14
FMNAT,b0025,2.7.7.2
NADDP,b3996 or b2411,"['3.6.1.22', '3.6.1.9']"
NMNAT,b4390 or b0639,"['2.7.7.1', '2.7.7.18']"
HMPK1,b2103 or b2418,2.7.1.49
NDPK6,b0474 or b2518,2.7.4.6
NDPK8,b0474 or b2518,2.7.4.6
PYNP2r,b3831,"['2.4.2.2', '2.4.2.3']"
DURIPP,b4382 or b4384,"['2.4.2.1', '2.4.2.2', '2.4.2.3', '2.4.2.4']"
PTRCTA,b3073,"['2.6.1.29', '2.6.1.82']"
CYSDS,b3008 or b3708,"['4.4.1.1', '4.4.1.28', '4.4.1.8']"
TRPAS2,b3708,4.1.99.1
NDP3,b1134 or b3614,"['3.6.1.42', '3.6.1.5', '3.6.1.6']"
CDPPH,b3614,"['3.6.1.5', '3.6.1.6']"
NDP7,b3614,"['3.6.1.5', '3.6.1.6']"
PMDPHT,b0844 or b3812,"['3.1.3.-', '3.1.3.104']"
ILETA,b3770,2.6.1.42
VALTA,b3770,"['2.6.1.42', '2.6.1.6']"
ORPT,b3642,2.4.2.10
RBFSa,b0415,"['2.5.1.78', '2.5.1.9']"
DHAD2,b3771,4.2.1.9
G1PP,b3885 or b2293 or b3697,3.1.3.10
PFL,( b3951 and b3952 ) or ( b0902 and b0903 ) or ( b0902 and b3114 ) or ( b0903 and b0902 and b2579 ),2.3.1.54
FRD2,b4153 and b4152 and b4151 and b4154,
FRD3,b4153 and b4152 and b4151 and b4154,1.3.99.1
POX,b0871,
PTAr,b2297 or b2458,2.3.1.8
ACKr,b1849 or b2296 or b3115,"['2.7.2.1', '2.7.2.15']"
MOAT,b3633,2.4.99.12
UDCPDPS,b0174,"['2.5.1.-', '2.5.1.31', '2.5.1.M1']"
USHD,b0524,3.6.1.54
LPADSS,b0182,2.4.1.182
TDSK,b0915,2.7.1.130
NTPP1,b0099 or b2781,"['3.6.1.-', '3.6.1.19', '3.6.1.9']"
NTPP2,b0099 or b2781,"['3.6.1.-', '3.6.1.8', '3.6.1.9']"
NTPTP1,b0160,3.1.5.1
NTPTP2,b0160,
IPMD,b0073 or b1800,1.1.1.85
AIRC3,b0523,5.4.99.18
ADSL2r,b1131,4.3.2.2
PUNP5,b2407 or b4384,"['2.4.2.1', '2.4.2.15']"
PUNP6,b4384 or b2407,"['2.4.2.1', '2.4.2.4']"
PUNP7,b2407,"['2.4.2.-', '2.4.2.1']"
RNDR1,( b2582 and b2235 and b2234 ) or ( b3781 and b2235 and b2234 ),1.17.4.1
RNDR3,( b3781 and b2235 and b2234 ) or ( b2582 and b2235 and b2234 ),1.17.4.1
RNDR4,( b3781 and b2235 and b2234 ) or ( b2235 and b2234 and b2582 ),1.17.4.1
TMDS,b2827,2.1.1.45
TMDK1,b1238,"['2.7.1.145', '2.7.1.21']"
PPCDC,b3639,4.1.1.36
FTHFD,b1232,3.5.1.10
EDD,b1851,4.2.1.12
DHQTi,b1693,4.2.1.10
PUNP1,b4384,2.4.2.1
PUNP2,b4384,2.4.2.1
PUNP3,b2407 or b4384,"['2.4.2.1', '2.4.2.15']"
LYSAM,b4146,5.4.3.2
DHAD1,b3771,4.2.1.9
IPPMIa,b0071 and b0072,4.2.1.33
G3PD7,b2242 and b2243 and b2241,1.1.99.5
NADH9,b0046 or b1109 or b1004 or b3713,
NADH10,b0046 or b1109 or b3713 or b1004,
MDH,b3236,"['1.1.1.299', '1.1.1.37']"
FUM,b4122 or b1612 or b1611,4.2.1.2
PYDXNK,b2418,2.7.1.35
PYAM5PO,b1638,1.4.3.5
OHPBAT,b0907,2.6.1.52
GLUTRR,b1210,1.2.1.70
GLCS1,b3429,2.4.1.21
GLCP,b3428 or b3417,
HEMEOS,b0428,2.5.1.-
ADMDC,b0120,4.1.1.50
AGMT,b2937,3.5.3.11
ARGDC,b4117,4.1.1.19
ARGSS,b3172,6.3.4.5
AGPR,b3958,1.2.1.38
SPMS,b0121,2.5.1.16
G1SAT,b0154,5.4.3.8
KDOCT2,b0918,2.7.7.38
OAADC,b1850,"['1.1.1.38', '1.1.1.40', '4.1.1.-', '4.1.1.3']"
MNNH,b4322,4.2.1.8
ALTRH,b3091,4.2.1.7
GUI1,b3092,5.3.1.12
PGAMT,b3176,5.4.2.10
UAGDP,b3730,2.7.7.23
UAGCVT,b3189,2.5.1.7
GLUR,b3967,5.1.1.3
UAG2E,b3786,5.1.3.14
MACPD,b2323,"['2.3.1.-', '4.1.1.87']"
DMQMT,b2232,2.1.1.64
ICHORS_copy1,b0593,5.4.4.2
HACD5,b3846 or b2341,"['1.1.1.211', '1.1.1.35']"
DNMPPA,,3.6.1.-
HPPK2,b0142,2.7.6.3
PTPATi,b3634,2.7.7.3
HEX7,b0394,"['2.7.1.1', '2.7.1.4']"
DXPRIi,b0173,1.1.1.267
OPHBDC,b3843,4.1.1.98
OHPHM,b2232,2.1.1.222
GHMT2r,b2551,2.1.2.1
DHORD2,b0945,
ADK4,b0474,
INSK,b0477,2.7.1.73
ABTA,b2662 or b1302,2.6.1.19
SSALx,b1525,"['1.2.1.16', '1.2.1.24']"
ASPT,b4139,4.3.1.1
SERD_L,b3708 or b1814 or b4471 or b2797 or b3117,"['4.3.1.15', '4.3.1.17', '4.3.1.19']"
THRD,b3616 or b3589,1.1.1.103
HEX4,,"['2.7.1.1', '2.7.1.7']"
KARA1,b3774,"['1.1.1.383', '1.1.1.86']"
KARA2,b3774,1.1.1.86
ACCOAC,b3256 and b2316 and b3255 and b0185,6.4.1.2
NADK,b2615,2.7.1.23
ICHORS_copy2,b2265,5.4.4.2
SUCBZS,b2261,"['4.2.1.-', '4.2.1.113']"
DHBD,b0596,1.3.1.28
ICHORT,b0595,3.3.2.1
RBK_L1,b0063,2.7.1.16
RBP4E,b4198 or b0061 or b3583,5.1.3.4
NTD2,b4374 or b2744 or b0675,3.1.3.5
