reactions,metabolites,metabolitestotal,gpr,genes
PFK_num1,f6p_c,f6p,SGL_RS16400,SGL_RS16400
GAPDi_nadp,13dpg_c,13dpg,SGL_RS17045,SGL_RS17045
GAPD,g3p_c,g3p,SGL_RS07215,SGL_RS07215
PGK,3pg_c,3pg,SGL_RS11980,SGL_RS11980
HEX7,fru_c,fru,SGL_RS06955,SGL_RS06955
MAN1PT_num1,man1p_c,man1p,SGL_RS17400,SGL_RS17400
G1PTT,g1p_c,g1p,SGL_RS13560,SGL_RS13560
MAN1PT2_num1,man1p_c,man1p,SGL_RS10610,SGL_RS10610
G1PCTYT,g1p_c,g1p,SGL_RS03545,SGL_RS03545
TDPDRR_2,dtdprham_c,dtdprham,SGL_RS02095,SGL_RS02095
GALUi,g1p_c,g1p,SGL_RS15915,SGL_RS15915
ALCD19y,glyald_c,glyald,SGL_RS11340,SGL_RS11340
GLYK,glyc_c,glyc,SGL_RS11095,SGL_RS11095
G3PD1ir,dhap_c,dhap,SGL_RS04330,SGL_RS04330
G3PDau,glyc3p_c,glyc3p,SGL_RS11080,SGL_RS11080
G3PDau,pq_u,pq_u,SGL_RS11080,SGL_RS11080
ARGDI_1,arg__L_c,arg__L,SGL_RS17085,SGL_RS17085
ARGOXu,arg__L_c,arg__L,SGL_RS13165,SGL_RS13165
ARGOXu,pq_u,pq_u,SGL_RS13165,SGL_RS13165
GUDBUTNAH_num1,4gudbutn_c,4gudbutn,SGL_RS05590,SGL_RS05590
PROAKGOX1_num1,akg_c,akg,SGL_RS11700,SGL_RS11700
PROAKGOX1_num1,pro__L_c,pro__L,SGL_RS11700,SGL_RS11700
ARGDC,arg__L_c,arg__L,SGL_RS17330 and SGL_RS01915,SGL_RS01915
ARGDC,arg__L_c,arg__L,SGL_RS17330 and SGL_RS01915,SGL_RS17330
HSK,hom__L_c,hom__L,SGL_RS07645,SGL_RS07645
THRS_num1,phom_c,phom,SGL_RS10720,SGL_RS10720
HSDy,hom__L_c,hom__L,SGL_RS14120,SGL_RS14120
ASAD,aspsa_c,aspsa,SGL_RS16920,SGL_RS16920
ASPK,asp__L_c,asp__L,SGL_RS17290,SGL_RS17290
DHDPS,aspsa_c,aspsa,SGL_RS16925,SGL_RS16925
DHDPS,pyr_c,pyr,SGL_RS16925,SGL_RS16925
DHDPRy,23dhdp_c,23dhdp,SGL_RS02200,SGL_RS02200
