reactions,metabolites,metabolitestotal,gpr,genes
PDHam1m_reverse,co2_m,co2_m,TCDM_05264,TCDM_05264
TKT1g_reverse,g3p_x,g3p_x,TCDM_07253,TCDM_07253
TKT1g_reverse,s7p_x,s7p_x,TCDM_07253,TCDM_07253
GAPDg_reverse_num1,13dpg_x,13dpg_x,TCDM_02134,TCDM_02134
GAPDg_reverse_num1,h_x,h_x,TCDM_02134,TCDM_02134
GAPDg_reverse_num1,nadh_x,nadh_x,TCDM_02134,TCDM_02134
ASPTA_reverse_num1,glu__L_c,glu__L,TCDM_00869,TCDM_00869
ASPTA_reverse_num1,oaa_c,oaa,TCDM_00869,TCDM_00869
SUCD1m_reverse,fadh2_m,fadh2_m,TCDM_06962,TCDM_06962
SUCD1m_reverse,fum_m,fum_m,TCDM_06962,TCDM_06962
ASPTAm_reverse_num1,glu__L_m,glu__L_m,TCDM_00869,TCDM_00869
ASPTAm_reverse_num1,oaa_m,oaa_m,TCDM_00869,TCDM_00869
MDHm_reverse,h_m,h_m,TCDM_04024,TCDM_04024
MDHm_reverse,nadh_m,nadh_m,TCDM_04024,TCDM_04024
MDHm_reverse,oaa_m,oaa_m,TCDM_04024,TCDM_04024
MDHp_reverse_num1,h_x,h_x,TCDM_04026,TCDM_04026
MDHp_reverse_num1,nadh_x,nadh_x,TCDM_04026,TCDM_04026
MDHp_reverse_num1,oaa_x,oaa_x,TCDM_04026,TCDM_04026
PPCKg_reverse,adp_x,adp_x,TCDM_05454,TCDM_05454
PPCKg_reverse,co2_x,co2_x,TCDM_05454,TCDM_05454
PPCKg_reverse,pep_x,pep_x,TCDM_05454,TCDM_05454
UAGDP_reverse,uacgam_c,uacgam,TCDM_01555,TCDM_01555
GF6PTA_reverse,gam6p_c,gam6p,TCDM_01902,TCDM_01902
GF6PTA_reverse,glu__L_c,glu__L,TCDM_01902,TCDM_01902
G6PDAr_reverse,f6p_x,f6p_x,TCDM_02681,TCDM_02681
G6PDAr_reverse,nh4_x,nh4_x,TCDM_02681,TCDM_02681
HACOADm_reverse,h_m,h_m,TCDM_04758,TCDM_04758
HACOADm_reverse,mmalsa_m,mmalsa_m,TCDM_04758,TCDM_04758
HACOADm_reverse,nadh_m,nadh_m,TCDM_04758,TCDM_04758
SUCOAS1m_reverse,gdp_m,gdp_m,TCDM_04788,TCDM_04788
SUCOAS1m_reverse,pi_m,pi_m,TCDM_04788,TCDM_04788
SUCOAS1m_reverse,succoa_m,succoa_m,TCDM_04788,TCDM_04788
SERAT_reverse,acser_c,acser,TCDM_02781,TCDM_02781
NAPRT_reverse,nicrnt_c,nicrnt,TCDM_04910,TCDM_04910
TRYP_reverse,trpox_c,trpox,TCDM_10705,TCDM_10705
TRYPg_reverse,h2o_x,h2o_x,TCDM_10705,TCDM_10705
TRYPg_reverse,trpox_x,trpox_x,TCDM_10705,TCDM_10705
TRYPm_reverse,h2o_m,h2o_m,TCDM_10705,TCDM_10705
TRYPm_reverse,trpox_m,trpox_m,TCDM_10705,TCDM_10705
HCO3Em_reverse,h_m,h_m,TCDM_04595,TCDM_04595
HCO3Em_reverse,hco3_m,hco3_m,TCDM_04595,TCDM_04595
TRYS_reverse_num1,trprd_c,trprd,TCDM_02914,TCDM_02914
GSPMDS_reverse,gtspmd_c,gtspmd,TCDM_08300,TCDM_08300
DRBK_reverse,2dr5p_c,2dr5p,TCDM_01953,TCDM_01953
ADPT2_1_reverse_num1,5a4icam_c,5a4icam,TCDM_01381,TCDM_01381
ADPT2_1_reverse_num1,prpp_c,prpp,TCDM_01381,TCDM_01381
ADNK1g_reverse_num1,adp_x,adp_x,TCDM_01513,TCDM_01513
ADNK1g_reverse_num1,amp_x,amp_x,TCDM_01513,TCDM_01513
ADNK1g_reverse_num1,h_x,h_x,TCDM_01513,TCDM_01513
ADNK1m_reverse_num1,adp_m,adp_m,TCDM_01513,TCDM_01513
ADNK1m_reverse_num1,amp_m,amp_m,TCDM_01513,TCDM_01513
ADNK1m_reverse_num1,h_m,h_m,TCDM_01513,TCDM_01513
ADNK1er_reverse_num1,adp_r,adp_r,TCDM_01513,TCDM_01513
ADNK1er_reverse_num1,amp_r,amp_r,TCDM_01513,TCDM_01513
ADNK1er_reverse_num1,h_r,h_r,TCDM_01513,TCDM_01513
ADSL1r_reverse,fum_c,fum,TCDM_07701,TCDM_07701
ADSL2r_reverse,aicar_c,aicar,TCDM_07701,TCDM_07701
ADSL2r_reverse,fum_c,fum,TCDM_07701,TCDM_07701
AMPDg_reverse_num1,imp_x,imp_x,TCDM_06911,TCDM_06911
AMPDg_reverse_num1,nh3_x,nh3_x,TCDM_06911,TCDM_06911
GK1er_reverse_num1,adp_r,adp_r,TCDM_04894,TCDM_04894
GK1er_reverse_num1,gdp_r,gdp_r,TCDM_04894,TCDM_04894
DGK1er_reverse_num1,adp_r,adp_r,TCDM_04894,TCDM_04894
DGK1er_reverse_num1,dgdp_r,dgdp_r,TCDM_04894,TCDM_04894
G5SD_reverse,glu5sa_c,glu5sa,TCDM_02659,TCDM_02659
P5CR_reverse,pro__L_c,pro__L,TCDM_02525,TCDM_02525
TYRTAim_reverse_num1,akg_m,akg_m,TCDM_00869,TCDM_00869
TYRTAim_reverse_num1,tyr__L_m,tyr__L_m,TCDM_00869,TCDM_00869
TKT2g_reverse,f6p_x,f6p_x,TCDM_07253,TCDM_07253
TKT2g_reverse,g3p_x,g3p_x,TCDM_07253,TCDM_07253
GLYATm_reverse,2aobut_m,2aobut_m,TCDM_09537,TCDM_09537
GLYATm_reverse,coa_m,coa_m,TCDM_09537,TCDM_09537
PRPPS_copy1_reverse_num1,prpp_c,prpp,TCDM_01624,TCDM_01624
TKT1_reverse,g3p_c,g3p,TCDM_07253,TCDM_07253
TKT1_reverse,s7p_c,s7p,TCDM_07253,TCDM_07253
TKT2_reverse,f6p_c,f6p,TCDM_07253,TCDM_07253
TKT2_reverse,g3p_c,g3p,TCDM_07253,TCDM_07253
AKGDam_reverse,co2_m,co2_m,TCDM_02290 and TCDM_07647,TCDM_07647
AKGDam_reverse,co2_m,co2_m,TCDM_02290 and TCDM_07647,TCDM_02290
AKGDam_reverse,sdhlam_m,sdhlam_m,TCDM_02290 and TCDM_07647,TCDM_07647
AKGDam_reverse,sdhlam_m,sdhlam_m,TCDM_02290 and TCDM_07647,TCDM_02290
SUCD3_u6m_reverse,fad_m,fad_m,TCDM_06962,TCDM_06962
SUCD3_u6m_reverse,q6h2_m,q6h2_m,TCDM_06962,TCDM_06962
PGKg_reverse,3pg_x,3pg_x,TCDM_14526,TCDM_14526
PGKg_reverse,atp_x,atp_x,TCDM_14526,TCDM_14526
FBAg_reverse,dhap_x,dhap_x,TCDM_01107,TCDM_01107
FBAg_reverse,g3p_x,g3p_x,TCDM_01107,TCDM_01107
GDHm_reverse,akg_m,akg_m,TCDM_03103,TCDM_03103
GDHm_reverse,h_m,h_m,TCDM_03103,TCDM_03103
GDHm_reverse,nadh_m,nadh_m,TCDM_03103,TCDM_03103
